County Name,Number of Deaths,Type of Death1,Year (copy),Latitude (generated),Longitude (generated)
Zavala,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,28.866,-99.761
Zapata,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,26.971,-99.203
Young,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,33.175,-98.687
Yoakum,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,33.173,-102.829
Wood,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,32.783,-95.407
Wise,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,33.214,-97.652
Winkler,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,31.869,-103.062
Wilson,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,29.176,-98.067
Williamson,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,30.68,-97.602
Willacy,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,26.453,-97.585
Wilbarger,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,34.087,-99.213
Wichita,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,33.984,-98.688
Wheeler,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,35.401,-100.269
Wharton,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,29.286,-96.241
Webb,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,27.851,-99.505
Washington,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,30.209,-96.437
Ward,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,31.511,-103.189
Waller,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,29.981,-95.997
Walker,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,30.727,-95.595
Victoria,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,28.802,-96.974
Van Zandt,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,32.556,-95.762
Val Verde,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,29.905,-101.23
Uvalde,---,All Deaths (Natural and Injury) where Opioids Were Involved,2005,29.357,-99.762
Upton,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,31.367,-102.046
Upshur,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,32.73,-94.912
Tyler,0,All Deaths (Natural and Injury) where Opioids Were Involved,2005,30.779,-94.354
