FIPS,county,census_2010_count,july1_2014_pop_est,jan1_2015_pop_est,num_chg_10_14,num_chg_10_15,pct_chg_10_14,pct_chg_10_15
001,Anderson,58458,58501,58243,43,-215,0.1,-0.4
003,Andrews,14786,17343,17785,2557,2999,17.3,20.3
005,Angelina,86771,89811,89801,3040,3030,3.5,3.5
007,Aransas,23158,24961,25265,1803,2107,7.8,9.1
009,Archer,9054,9266,9281,212,227,2.3,2.5
011,Armstrong,1901,1946,1943,45,42,2.4,2.2
013,Atascosa,44911,47828,48185,2917,3274,6.5,7.3
015,Austin,28417,30117,30604,1700,2187,6.0,7.7
017,Bailey,7165,7056,7014,-109,-151,-1.5,-2.1
019,Bandera,20485,21201,21328,716,843,3.5,4.1
021,Bastrop,74171,80562,81513,6391,7342,8.6,9.9
023,Baylor,3726,3571,3547,-155,-179,-4.2,-4.8
025,Bee,31861,32721,32867,860,1006,2.7,3.2
027,Bell,310235,329054,330017,18819,19782,6.1,6.4
029,Bexar,1714773,1846354,1862634,131581,147861,7.7,8.6
031,Blanco,10497,11258,11622,761,1125,7.2,10.7
033,Borden,641,655,654,14,13,2.2,2.0
035,Bosque,18212,18394,18349,182,137,1.0,0.8
037,Bowie,92565,95062,95316,2497,2751,2.7,3.0
039,Brazoria,313166,338464,342421,25298,29255,8.1,9.3
041,Brazos,194851,211617,215753,16766,20902,8.6,10.7
043,Brewster,9232,9117,9036,-115,-196,-1.2,-2.1
045,Briscoe,1637,1552,1556,-85,-81,-5.2,-4.9
047,Brooks,7223,7226,7190,3,-33,0.0,-0.5
049,Brown,38106,39166,39285,1060,1179,2.8,3.1
051,Burleson,17187,17529,17552,342,365,2.0,2.1
053,Burnet,42750,44975,45259,2225,2509,5.2,5.9
055,Caldwell,38066,39466,39584,1400,1518,3.7,4.0
057,Calhoun,21381,21566,21484,185,103,0.9,0.5
059,Callahan,13544,14113,14197,569,653,4.2,4.8
061,Cameron,406220,422386,422881,16166,16661,4.0,4.1
063,Camp,12401,12644,12660,243,259,2.0,2.1
065,Carson,6182,6113,6112,-69,-70,-1.1,-1.1
067,Cass,30464,30929,30995,465,531,1.5,1.7
069,Castro,8062,7702,7547,-360,-515,-4.5,-6.4
071,Chambers,35096,37801,38336,2705,3240,7.7,9.2
073,Cherokee,50845,52554,52564,1709,1719,3.4,3.4
075,Childress,7041,7078,7095,37,54,0.5,0.8
077,Clay,10752,10788,10755,36,3,0.3,0.0
079,Cochran,3127,3134,3199,7,72,0.2,2.3
081,Coke,3320,3213,3191,-107,-129,-3.2,-3.9
083,Coleman,8895,8637,8532,-258,-363,-2.9,-4.1
085,Collin,782341,881901,896155,99560,113814,12.7,14.5
087,Collingsworth,3057,2905,2878,-152,-179,-5.0,-5.9
089,Colorado,20874,21772,21915,898,1041,4.3,5.0
091,Comal,108472,123941,126876,15469,18404,14.3,17.0
093,Comanche,13974,13955,13904,-19,-70,-0.1,-0.5
095,Concho,4087,4139,4185,52,98,1.3,2.4
097,Cooke,38437,39541,39626,1104,1189,2.9,3.1
099,Coryell,75388,77062,77119,1674,1731,2.2,2.3
101,Cottle,1505,1436,1415,-69,-90,-4.6,-6.0
103,Crane,4375,4939,5043,564,668,12.9,15.3
