FIPS,county,cqr_census_2010_count,july1_2015_pop_est,jan1_2016_pop_est,num_chg_10_15,num_chg_10_16,pct_chg_10_15,pct_chg_10_16
001,Anderson,58458,58906,59173,448,715,0.8,1.2
003,Andrews,14786,17920,18202,3134,3416,21.2,23.1
005,Angelina,86771,90373,90667,3602,3896,4.2,4.5
007,Aransas,23158,25110,25176,1952,2018,8.4,8.7
009,Archer,9054,9136,9067,82,13,0.9,0.1
011,Armstrong,1901,1939,1933,38,32,2.0,1.7
013,Atascosa,44911,48783,49266,3872,4355,8.6,9.7
015,Austin,28417,30446,30609,2029,2192,7.1,7.7
017,Bailey,7165,7112,7150,-53,-15,-0.7,-0.2
019,Bandera,20485,21317,21374,832,889,4.1,4.3
021,Bastrop,74171,82713,83800,8542,9629,11.5,13.0
023,Baylor,3726,3551,3518,-175,-208,-4.7,-5.6
025,Bee,31861,32702,32688,841,827,2.6,2.6
027,Bell,310235,333994,336383,23759,26148,7.7,8.4
029,Bexar,1714773,1890984,1913559,176211,198786,10.3,11.6
031,Blanco,10497,11291,11305,794,808,7.6,7.7
033,Borden,641,674,682,33,41,5.1,6.4
035,Bosque,18212,18370,18360,158,148,0.9,0.8
037,Bowie,92565,96719,97549,4154,4984,4.5,5.4
039,Brazoria,313166,345717,349500,32551,36334,10.4,11.6
041,Brazos,194851,217790,220371,22939,25520,11.8,13.1
043,Brewster,9232,9152,9168,-80,-64,-0.9,-0.7
045,Briscoe,1637,1476,1441,-161,-196,-9.8,-12.0
047,Brooks,7223,7209,7200,-14,-23,-0.2,-0.3
049,Brown,38106,39128,39103,1022,997,2.7,2.6
051,Burleson,17187,18113,18415,926,1228,5.4,7.1
053,Burnet,42750,45616,45955,2866,3205,6.7,7.5
055,Caldwell,38066,40031,40336,1965,2270,5.2,6.0
057,Calhoun,21381,21452,21397,71,16,0.3,0.1
059,Callahan,13544,14154,14167,610,623,4.5,4.6
061,Cameron,406220,424133,425194,17913,18974,4.4,4.7
063,Camp,12401,12683,12692,282,291,2.3,2.3
065,Carson,6182,5993,5930,-189,-252,-3.1,-4.1
067,Cass,30464,31000,31030,536,566,1.8,1.9
069,Castro,8062,7699,7697,-363,-365,-4.5,-4.5
071,Chambers,35096,39041,39676,3945,4580,11.2,13.0
