County Name,Number of Deaths,Type of Death1,Year (copy),Latitude (generated),Longitude (generated)
Zavala,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,28.866,-99.761
Zapata,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,26.971,-99.203
Young,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.175,-98.687
Yoakum,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.173,-102.829
Wood,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.783,-95.407
Wise,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.214,-97.652
Winkler,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.869,-103.062
Wilson,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,29.176,-98.067
Williamson,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.68,-97.602
Willacy,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,26.453,-97.585
Wilbarger,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,34.087,-99.213
Wichita,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.984,-98.688
Wheeler,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,35.401,-100.269
Wharton,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,29.286,-96.241
Webb,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,27.851,-99.505
Washington,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.209,-96.437
Ward,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.511,-103.189
Waller,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,29.981,-95.997
Walker,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.727,-95.595
Victoria,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,28.802,-96.974
Van Zandt,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.556,-95.762
Val Verde,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,29.905,-101.23
Uvalde,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,29.357,-99.762
Upton,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.367,-102.046
Upshur,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.73,-94.912
Tyler,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.779,-94.354
Trinity,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.068,-95.138
Travis,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.249,-97.771
Tom Green,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.447,-100.689
Titus,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.23,-94.967
Throckmorton,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.177,-99.211
Terry,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.173,-102.335
Terrell,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.224,-102.106
Taylor,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.301,-99.89
Tarrant,40,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.77,-97.291
Swisher,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,34.53,-101.734
Sutton,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.497,-100.538
Stonewall,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,33.179,-100.254
Sterling,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.823,-101.044
Stephens,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.736,-98.835
Starr,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,26.551,-98.746
Somervell,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.223,-97.779
Smith,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.358,-95.289
Sherman,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,36.277,-101.893
Shelby,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.802,-94.152
Shackelford,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.736,-99.354
Scurry,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.745,-100.915
Schleicher,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.897,-100.538
San Saba,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.152,-98.753
San Patricio,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,27.999,-97.521
San Jacinto,---,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.518,-95.094
San Augustine,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.385,-94.191
Sabine,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.363,-93.821
Rusk,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.107,-94.719
Runnels,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,31.83,-99.975
Rockwall,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,32.897,-96.408
Robertson,0,Accidental Poisoning Deaths where Opioids Were Involved,2004,30.981,-96.532
